# Clause and subclause structure of ISO/IEC 39075:2024 (GQL), edition 1.
#
# Unlike features.xml, conditions.xml and the grammar, ISO publishes no
# machine-readable artifact for the document's own structure — and mandatory
# features carry no feature code, so the subclause number is the only handle a
# conformance claim has on them. This file supplies that handle.
#
# It is transcribed from the table of contents in the publicly downloadable
# preview of the standard:
#   https://cdn.standards.iteh.ai/samples/76120/a5695073ca0a485c9929f50970f4c862/ISO-IEC-39075-2024.pdf
# (contents pages iii-xi), which ISO and its resellers publish free of charge.
# Only numbers and titles are reproduced: no normative text of the standard is
# copied here, and none is needed — a corpus cites a subclause, it does not
# quote it.
#
# Format is "number<TAB>title", one per line, in document order. Titles keep
# the standard's own spelling, including the angle brackets it puts around
# syntactic elements, so a report can be read next to the document.
#
# A number in this file is not a promise that gql-compat tests it. It is the
# denominator: the report says how many of these a run actually exercised.

19.3	<comparison predicate>
19.4	<exists predicate>
19.5	<null predicate>
19.6	<value type predicate>
19.7	<normalized predicate>
19.8	<directed predicate>
19.9	<labeled predicate>
19.10	<source/destination predicate>
19.11	<all_different predicate>
19.12	<same predicate>
19.13	<property_exists predicate>
20	Value expressions and specifications
20.1	<value expression>
20.2	<value expression primary>
20.3	<value specification>
20.4	<dynamic parameter specification>
20.5	<let value expression>
20.6	<value query expression>
20.7	<case expression>
20.8	<cast specification>
20.9	<aggregate function>
20.10	<element_id function>
20.11	<property reference>
20.12	<binding variable reference>
20.13	<path value expression>
20.14	<path value constructor>
20.15	<list value expression>
20.16	<list value function>
20.17	<list value constructor>
20.18	<record constructor>
20.19	<field>
20.20	<boolean value expression>
20.21	<numeric value expression>
20.22	<numeric value function>
20.23	<string value expression>
20.24	<character string function>
20.25	<byte string function>
20.26	<datetime value expression>
20.27	<datetime value function>
20.28	<duration value expression>
20.29	<duration value function>
21	Lexical elements
21.1	Names and variables
21.2	<literal>
21.3	<token>, <separator>, and <identifier>
21.4	<GQL terminal character>
22	Additional common rules
22.1	Annotation of a <GQL-program>
22.2	Machinery for graph pattern matching
22.3	Evaluation of a <path pattern expression>
22.4	Evaluation of a selective <path pattern>
22.5	Satisfaction of a <label expression> by a label set
